polygon group,polygon id,vertice id,x,y
plate_1,4,3,67.56938171386719,125.53361511230469
plate_1,5,0,64.10528564453125,127.53361511230469
plate_1,5,1,65.10528564453125,129.2656707763672
plate_1,5,2,55.579002380371094,134.7656707763672
plate_1,5,3,54.579002380371094,133.0336151123047
plate_1,6,0,51.11490249633789,135.0336151123047
plate_1,6,1,52.11490249633789,136.7656707763672
plate_1,6,2,42.588623046875,142.2656707763672
plate_1,6,3,41.588623046875,140.5336151123047
plate_1,7,0,38.1245231628418,142.5336151123047
plate_1,7,1,39.1245231628418,144.2656707763672
plate_1,7,2,29.598243713378906,149.7656707763672
plate_1,7,3,28.598243713378906,148.0336151123047
plate_1,8,0,25.134140014648438,150.0336151123047
plate_1,8,1,26.134140014648438,151.7656707763672
plate_1,8,2,16.82436752319336,157.1406707763672
plate_1,8,3,15.82436752319336,155.4086151123047
plate_1,9,0,15.82436752319336,155.4086151123047
plate_1,9,1,16.82436752319336,157.1406707763672
plate_1,9,2,-16.824413299560547,157.14065551757812
plate_1,9,3,-15.82437515258789,155.40858459472656
crystals_1,0,0,45.91041946411133,164.01919555664062
crystals_1,0,1,47.41041946411133,166.6172637939453
crystals_1,0,2,44.81234359741211,168.1172637939453
crystals_1,0,3,43.31234359741211,165.51919555664062
crystals_1,1,0,58.90080261230469,156.51919555664062
crystals_1,1,1,60.40080261230469,159.1172637939453
crystals_1,1,2,57.80272674560547,160.6172637939453
crystals_1,1,3,56.30272674560547,158.01919555664062
crystals_1,2,0,71.89118194580078,149.01919555664062
crystals_1,2,1,73.39118194580078,151.6172637939453
crystals_1,2,2,70.79310607910156,153.1172637939453
crystals_1,2,3,69.29310607910156,150.51919555664062
crystals_1,3,0,41.43734359741211,162.27159118652344
crystals_1,3,1,42.93734359741211,164.8696746826172
crystals_1,3,2,40.33926773071289,166.3696746826172
crystals_1,3,3,38.83926773071289,163.77159118652344
crystals_1,4,0,33.64311599731445,166.77159118652344
crystals_1,4,1,35.14311599731445,169.3696746826172
crystals_1,4,2,32.545040130615234,170.8696746826172
crystals_1,4,3,31.045040130615234,168.27159118652344
crystals_1,5,0,42.0133056640625,166.26919555664062
crystals_1,5,1,43.5133056640625,168.8672637939453
crystals_1,5,2,40.91522979736328,170.3672637939453
crystals_1,5,3,39.41522979736328,167.76919555664062
crystals_1,6,0,36.81715393066406,169.26919555664062
crystals_1,6,1,38.31715393066406,171.8672637939453
crystals_1,6,2,35.719078063964844,173.3672637939453
crystals_1,6,3,34.219078063964844,170.76919555664062
crystals_1,7,0,43.23878479003906,169.89178466796875
crystals_1,7,1,44.73878479003906,172.48985290527344
crystals_1,7,2,42.140708923339844,173.98985290527344
crystals_1,7,3,40.640708923339844,171.39178466796875
crystals_1,8,0,39.341670989990234,172.14178466796875
crystals_1,8,1,40.841670989990234,174.73985290527344
crystals_1,8,2,38.243595123291016,176.23985290527344
crystals_1,8,3,36.743595123291016,173.64178466796875
crystals_1,9,0,43.16522979736328,174.26437377929688
crystals_1,9,1,44.66522979736328,176.86245727539062
crystals_1,9,2,42.06715393066406,178.36245727539062
crystals_1,9,3,40.56715393066406,175.76437377929688
crystals_1,10,0,132.37001037597656,109.77159118652344
crystals_1,10,1,133.87001037597656,112.36967468261719
crystals_1,10,2,131.27194213867188,113.86967468261719
crystals_1,10,3,129.77194213867188,111.27159118652344
crystals_1,11,0,124.57577514648438,114.27159118652344
crystals_1,11,1,126.07577514648438,116.86967468261719
crystals_1,11,2,123.47770690917969,118.36967468261719
crystals_1,11,3,121.97770690917969,115.77159118652344
crystals_1,12,0,132.9459686279297,113.76919555664062
crystals_1,12,1,134.4459686279297,116.36726379394531
crystals_1,12,2,131.847900390625,117.86726379394531
